title,RAM,storage,color,model_no,deal_price,org_price,discount,rating,no_of_ratings,battery,processor_brand,os,processor_core,camera,warranty
"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)  (12 GB RAM)",12 GB,256 GB,Cobalt Violet,SM-S926BZVBINS,54999,99999,45% off,4.5,"6,302 Ratings & 487 Reviews",4900 mAh,Exynos,Android 14,Deca Core,50MP + 10MP + 12MP,1 Year
"Google Pixel 8 (Obsidian, 128 GB)  (8 GB RAM)",8 GB,128 GB,Obsidian,GPJ41,44999,75999,40% off,4.4,"17,966 Ratings & 1,406 Reviews",4575 mAh,Google,Android 14,N/A,50MP + 12MP,1 Year
itel Power 450 | 2.4 inch Big Display | 2500 mAh Battery | Type C Charging  (Dark Grey),32 MB,32 MB,Dark Grey,P450,1400,1899,26% off,4.1,576 Ratings & 43 Reviews,2500 mAh,NA,N/A,N/A,0.8MP Rear Camera,1 Year
"Tecno Spark Go 1 (Magic Skin Green, 64 GB)  (4 GB RAM)",4 GB,64 GB,Magic Skin Green,KL4,7299,8999,18% off,4.3,"4,162 Ratings & 208 Reviews",5000 mAh,Unisoc,Android 14 Go,Octa Core,13MP Rear Camera,1 Year
"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)  (8 GB RAM)",8 GB,256 GB,Graphite,SM-S711BZACINS,37999,84999,55% off,4.4,"70,002 Ratings & 4,318 Reviews",4500 mAh,Exynos,Android 13,Octa Core,50MP + 12MP,1 Year
"Tecno Spark Go 1 (Glittery White, 64 GB)  (4 GB RAM)",4 GB,64 GB,Glittery White,KL4,7299,8999,18% off,4.3,"4,162 Ratings & 208 Reviews",5000 mAh,Unisoc,Android 14 Go,Octa Core,13MP Rear Camera,1 Year
"SAMSUNG M15 Prime Edition (Blue Topaz, 128 GB)  (6 GB RAM)",6 GB,128 GB,Blue Topaz,SM-M156B,13249,16999,22% off,4.4,411 Ratings & 24 Reviews,6000 mAh,Mediatek,Android Q 14,Octa Core,50MP Rear Camera,1 Year
"Nothing Phone (2a) Plus (Black, 256 GB)  (8 GB RAM)",8 GB,256 GB,Black,A10400091,27999,29999,6% off,4.4,"12,040 Ratings & 884 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 50MP,1 Year
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)  (6 GB RAM)",6 GB,128 GB,Groovy Violet,SM-E156BLVGINS,13499,16999,20% off,4.2,"19,433 Ratings & 1,438 Reviews",6000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"POCO X7 5G (Glacier Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,Glacier Green,MZB0IDHIN,18999,24999,24% off,4.3,"2,816 Ratings & 325 Reviews",5500 mAh,Mediatek,Android 14,Octa Core,50MP + 8MP + 2MP,1 Year
"OnePlus 12 (Flowy Emerald, 256 GB)  (12 GB RAM)",12 GB,256 GB,Flowy Emerald,CPH2573,54500,64999,16% off,4.6,"1,271 Ratings & 100 Reviews",5400 mAh,Snapdragon,Android Android 14,Octa Core,64MP Rear Camera,1 Year
"SAMSUNG Galaxy M35 5G (Moonlight Blue, 128 GB)  (8 GB RAM)",8 GB,128 GB,Moonlight Blue,SM-M356B,16814,25999,35% off,4.4,"1,088 Ratings & 86 Reviews",6000 mAh,Exynos,Android Q Android 14,N/A,50MP Rear Camera,1 Year
"vivo Y22 (Starlit Blue, 128 GB)  (4 GB RAM)",4 GB,128 GB,Starlit Blue,V2207|V2238,13499,18999,28% off,4.3,"2,195 Ratings & 131 Reviews",5000 mAh,Mediatek,Android 12,Octa Core,50MP + 2MP,1 Year
Jio JioBharat J1 4G  (Dark Grey),56 MB,50 MB,Dark Grey,JBJ161W1,2099,2999,30% off,3.6,"1,433 Ratings & 59 Reviews",2500 mAh,NA,Android Q TD-LTE 2300(band 40) FD-LTE 1800(band 3) / 850(band 5),N/A,0.3MP Rear Camera,1 Year
"REDMI Note 13 Pro 5G (Scarlet Red, 128 GB)  (8 GB RAM)",8 GB,128 GB,Scarlet Red,Note 13 pro,19444,28999,32% off,4.3,"36,298 Ratings & 2,873 Reviews",5100 mAh,Snapdragon,Android Android 13,Octa Core,200MP Rear Camera,1 Year
"itel Aura 05i|Leather Finish|4000 Mah Battery|Type C Charging Support (Glorious Orange, 32 GB)  (2 GB RAM)",2 GB,32 GB,Glorious Orange,A663L,5745,6799,15% off,4,"1,462 Ratings & 47 Reviews",4000 mAh,Unisoc,Android 13 Go,Octa Core,5MP + 0.3MP,1 Year
"OPPO Reno 12 5G (Astro Silver, 256 GB)  (8 GB RAM)",8 GB,256 GB,Astro Silver,CPH2625,26999,43999,38% off,4.4,924 Ratings & 57 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 8MP + 2MP,1 Year
"IQOO Z9 5G (Graphene Blue, 256 GB)  (8 GB RAM)",8 GB,256 GB,Graphene Blue,I2302,19899,26999,26% off,4.4,"3,740 Ratings & 218 Reviews",5000 mAh,Mediatek,Android Oxygen 14,Octa Core,50MP Rear Camera,1 Year
"IQOO Z9 5G (Brushed Green, 256 GB)  (8 GB RAM)",8 GB,256 GB,Brushed Green,I2302,18999,26999,29% off,4.4,"3,740 Ratings & 218 Reviews",5000 mAh,NA,Android Oxygen 14,Octa Core,50MP Rear Camera,1 Year
"itel A50C (Misty Aqua, 32 GB)  (2 GB RAM)",2 GB,32 GB,Misty Aqua,A669L,5999,6199,3% off,4.2,216 Ratings & 5 Reviews,4000 mAh,Unisoc,Android 14,Octa Core,8MP Rear Camera,1 Year
LAVA Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless FM  (Mint Green),N/A,32 GB,Mint Green,Hero Shakti,901,1199,24% off,4.2,794 Ratings & 61 Reviews,800 mAh,NA,0,Single Core,,1 Year
itel Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32GB  (Cyber Black),32 MB,32 MB,Cyber Black,Ace2L,825,999,17% off,4,145 Ratings & 7 Reviews,1000 mAh,NA,N/A,Single Core,,1 Year
"SAMSUNG Galaxy A05 (Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Black,SM-A055FZKHINS,8995,14999,40% off,4.2,989 Ratings & 49 Reviews,5000 mAh,Mediatek,Android 13,Octa Core,50MP + 2MP,1 Year
